id;season;round;circuitId;country;constructorId;driverId;position;points;grid;status;differenceGridPosition
112;2000;6;nurburgring;Germany;bar;villeneuve;15;0.0;9;Engine;-6
113;2000;6;nurburgring;Germany;bar;zonta;13;0.0;18;Spun off;5
114;2000;6;nurburgring;Germany;benetton;fisichella;5;2.0;7;+1 Lap;2
115;2000;6;nurburgring;Germany;benetton;wurz;12;0.0;14;Collision;2
116;2000;6;nurburgring;Germany;ferrari;barrichello;4;3.0;4;+1 Lap;0
117;2000;6;nurburgring;Germany;ferrari;michael_schumacher;1;10.0;2;Finished;1
118;2000;6;nurburgring;Germany;jaguar;herbert;11;0.0;16;Collision;5
119;2000;6;nurburgring;Germany;jaguar;irvine;16;0.0;8;Collision;-8
120;2000;6;nurburgring;Germany;jordan;frentzen;20;0.0;10;Engine;-10
121;2000;6;nurburgring;Germany;jordan;trulli;21;0.0;6;Collision;-15
122;2000;6;nurburgring;Germany;mclaren;coulthard;3;4.0;1;+1 Lap;-2
123;2000;6;nurburgring;Germany;mclaren;hakkinen;2;6.0;3;Finished;1
124;2000;6;nurburgring;Germany;minardi;gene;14;0.0;20;Throttle;6
125;2000;6;nurburgring;Germany;minardi;mazzacane;8;0.0;21;+2 Laps;13
126;2000;6;nurburgring;Germany;prost;alesi;9;0.0;17;+2 Laps;8
127;2000;6;nurburgring;Germany;sauber;diniz;7;0.0;15;+2 Laps;8
128;2000;6;nurburgring;Germany;sauber;salo;19;0.0;19;Halfshaft;0
129;2000;6;nurburgring;Germany;williams;button;10;0.0;11;Electrical;1
130;2000;6;nurburgring;Germany;williams;ralf_schumacher;18;0.0;5;Collision;-13
131;2000;7;monaco;Monaco;arrows;rosa;22;0.0;16;Not restarted;-6
132;2000;7;monaco;Monaco;arrows;verstappen;11;0.0;15;Spun off;4
133;2000;7;monaco;Monaco;bar;villeneuve;7;0.0;17;+1 Lap;10
134;2000;7;monaco;Monaco;bar;zonta;13;0.0;20;Spun off;7
135;2000;7;monaco;Monaco;benetton;fisichella;3;4.0;8;Finished;5
136;2000;7;monaco;Monaco;benetton;wurz;20;0.0;12;Spun off;-8
137;2000;7;monaco;Monaco;ferrari;barrichello;2;6.0;6;Finished;4
138;2000;7;monaco;Monaco;ferrari;michael_schumacher;12;0.0;1;Suspension;-11
139;2000;7;monaco;Monaco;jaguar;herbert;9;0.0;11;+2 Laps;2
140;2000;7;monaco;Monaco;jaguar;irvine;4;3.0;10;Finished;6
141;2000;7;monaco;Monaco;jordan;frentzen;10;0.0;4;Spun off;-6
142;2000;7;monaco;Monaco;jordan;trulli;15;0.0;2;Gearbox;-13
143;2000;7;monaco;Monaco;mclaren;coulthard;1;10.0;3;Finished;2
144;2000;7;monaco;Monaco;mclaren;hakkinen;6;1.0;5;+1 Lap;-1
145;2000;7;monaco;Monaco;minardi;gene;19;0.0;21;Gearbox;2
146;2000;7;monaco;Monaco;minardi;mazzacane;18;0.0;22;Spun off;4
147;2000;7;monaco;Monaco;prost;alesi;17;0.0;7;Transmission;-10
148;2000;7;monaco;Monaco;prost;heidfeld;8;0.0;18;+1 Lap;10
149;2000;7;monaco;Monaco;sauber;diniz;16;0.0;19;Spun off;3
150;2000;7;monaco;Monaco;sauber;salo;5;2.0;13;Finished;8
151;2000;7;monaco;Monaco;williams;button;21;0.0;14;Engine;-7
152;2000;7;monaco;Monaco;williams;ralf_schumacher;14;0.0;9;Spun off;-5
153;2000;8;villeneuve;Canada;arrows;rosa;17;0.0;9;Collision;-8
154;2000;8;villeneuve;Canada;arrows;verstappen;5;2.0;13;Finished;8
155;2000;8;villeneuve;Canada;bar;villeneuve;15;0.0;6;Collision;-9
156;2000;8;villeneuve;Canada;bar;zonta;8;0.0;8;Finished;0
157;2000;8;villeneuve;Canada;benetton;fisichella;3;4.0;10;Finished;7
158;2000;8;villeneuve;Canada;benetton;wurz;9;0.0;14;Finished;5
159;2000;8;villeneuve;Canada;ferrari;barrichello;2;6.0;3;Finished;1
160;2000;8;villeneuve;Canada;ferrari;michael_schumacher;1;10.0;1;Finished;0
161;2000;8;villeneuve;Canada;jaguar;herbert;22;0.0;11;Gearbox;-11
162;2000;8;villeneuve;Canada;jaguar;irvine;13;0.0;16;+3 Laps;3
163;2000;8;villeneuve;Canada;jordan;frentzen;21;0.0;5;Brakes;-16
164;2000;8;villeneuve;Canada;jordan;trulli;6;1.0;7;Finished;1
165;2000;8;villeneuve;Canada;mclaren;coulthard;7;0.0;2;Finished;-5
166;2000;8;villeneuve;Canada;mclaren;hakkinen;4;3.0;4;Finished;0
167;2000;8;villeneuve;Canada;minardi;gene;16;0.0;20;Spun off;4
168;2000;8;villeneuve;Canada;minardi;mazzacane;12;0.0;22;+1 Lap;10
