id;season;round;position;points;wins;driverId
359;2000;17;22;0.0;0;alesi
360;2000;17;23;0.0;0;burti
361;2001;1;1;10.0;1;michael_schumacher
362;2001;1;2;6.0;0;coulthard
363;2001;1;3;4.0;0;barrichello
364;2001;1;4;3.0;0;heidfeld
365;2001;1;5;2.0;0;frentzen
366;2001;1;6;1.0;0;raikkonen
367;2001;1;7;0.0;0;panis
368;2001;1;8;0.0;0;burti
369;2001;1;9;0.0;0;alesi
370;2001;1;10;0.0;0;verstappen
371;2001;1;11;0.0;0;irvine
372;2001;1;12;0.0;0;alonso
373;2001;1;13;0.0;0;fisichella
374;2001;2;1;20.0;2;michael_schumacher
375;2001;2;2;10.0;0;barrichello
376;2001;2;3;10.0;0;coulthard
377;2001;2;4;5.0;0;frentzen
378;2001;2;5;3.0;0;heidfeld
379;2001;2;6;2.0;0;ralf_schumacher
380;2001;2;7;1.0;0;hakkinen
381;2001;2;8;1.0;0;raikkonen
382;2001;2;9;0.0;0;verstappen
383;2001;2;10;0.0;0;panis
384;2001;2;11;0.0;0;burti
385;2001;2;12;0.0;0;trulli
386;2001;2;13;0.0;0;alesi
387;2001;2;14;0.0;0;button
388;2001;2;15;0.0;0;irvine
389;2001;2;16;0.0;0;alonso
390;2001;2;17;0.0;0;mazzacane
391;2001;2;18;0.0;0;fisichella
392;2001;2;19;0.0;0;marques
393;2001;3;1;26.0;2;michael_schumacher
394;2001;3;2;20.0;1;coulthard
395;2001;3;3;10.0;0;barrichello
396;2001;3;4;7.0;0;heidfeld
397;2001;3;5;5.0;0;frentzen
398;2001;3;6;3.0;0;panis
399;2001;3;7;2.0;0;trulli
400;2001;3;8;2.0;0;ralf_schumacher
401;2001;3;9;1.0;0;fisichella
402;2001;3;10;1.0;0;hakkinen
403;2001;3;11;1.0;0;raikkonen
404;2001;3;12;0.0;0;verstappen
405;2001;3;13;0.0;0;villeneuve
406;2001;3;14;0.0;0;alesi
407;2001;3;15;0.0;0;burti
408;2001;3;16;0.0;0;marques
409;2001;3;17;0.0;0;button
410;2001;3;18;0.0;0;irvine
411;2001;3;19;0.0;0;alonso
412;2001;3;20;0.0;0;mazzacane
413;2001;4;1;26.0;2;michael_schumacher
414;2001;4;2;26.0;1;coulthard
415;2001;4;3;14.0;0;barrichello
416;2001;4;4;12.0;1;ralf_schumacher
